REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2023,22.360155624
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2024,23.876510777999997
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2025,25.495686521999996
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2026,27.22469454
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2027,29.070912797999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2028,31.042347174
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2029,33.147526806
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2030,35.39539943999999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2031,37.290542508
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2032,39.28714569
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2033,41.390650889999996
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2034,43.606761642
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2035,45.941547762
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2036,48.40134069599999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2037,50.992785846
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2038,53.723104199999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2039,56.59946441999999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2040,59.630186339999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2041,62.82259559999999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2042,65.50221006
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2043,68.29641845999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2044,71.20993013999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2045,74.24745443999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2046,77.41474721999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2047,80.71704108
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2048,84.16009188
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2049,87.74965548
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2050,91.49305752
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2023,0.9669890026304638
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2024,1.0336038005894517
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2025,1.4909935782122725
