PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCSPINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCSPINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRCSPINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDBGDXX,,,,,,,,,,100.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDBTNXX,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDINDEA,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDINDNE,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDINDNO,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDINDSO,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDINDWE,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDLKAXX,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRHYDNPLXX,,,,,,,,,,80.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSBGDXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSBTNXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSINDEA,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSINDNE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSINDNO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSINDSO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSINDWE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSLKAXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSMDVXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRLDSNPLXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSINDEA,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSINDNE,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSINDNO,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSINDSO,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSINDWE,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWRNGSLKAXX,,,,,,,,,,27.5
OperationalLife,C_Target_VRE,GLOBAL,PWROILBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROILLKAXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHBTNXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHLKAXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHMDVXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWROTHNPLXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETBGDXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETBTNXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETINDEA,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETINDSO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETINDWE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETLKAXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETMDVXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRPETNPLXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSBGDXX,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSBTNXX,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSINDEA,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSINDNE,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSINDNO,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSINDSO,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSINDWE,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSLKAXX,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSMDVXX,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSDSNPLXX,,,,,,,,,,15.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVBGDXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVBTNXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVINDEA,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVINDNE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVINDNO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVINDSO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVINDWE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVLKAXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVMDVXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRSPVNPLXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNBGDXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNBTNXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNINDEA,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNINDNE,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNINDNO,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNINDSO,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNINDWE,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNLKAXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNMDVXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRTRNNPLXX,,,,,,,,,,40.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNBGDXX,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNINDEA,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNINDNE,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNINDNO,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNINDSO,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRURNINDWE,,,,,,,,,,60.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASBGDXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASINDEA,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASINDNE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASINDNO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASINDSO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASINDWE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASLKAXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWASNPLXX,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFBGDXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFINDEA,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFINDNE,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFINDNO,,,,,,,,,,30.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFINDSO,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFINDWE,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWOFLKAXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWONBGDXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWONBTNXX,,,,,,,,,,25.0
OperationalLife,C_Target_VRE,GLOBAL,PWRWONINDEA,,,,,,,,,,25.0
